0,0.00027,0.69735,0.45134,0.29199,133.14
1,0.61153,0.69735,0.66400,0.01591,91.11
2,0.65903,0.69935,0.67854,0.01062,102.32
3,0.67045,0.69973,0.69059,0.00712,59.57
4,0.68610,0.70860,0.69792,0.00274,153.35
5,0.69735,0.72349,0.70441,0.00639,309.55
6,0.69935,0.72896,0.71500,0.00676,375.43
7,0.71379,0.72898,0.72206,0.00407,419.15
8,0.71692,0.74032,0.72642,0.00339,424.65
9,0.72383,0.74174,0.73103,0.00469,386.39
10,0.72898,0.74863,0.73707,0.00467,292.26
11,0.73505,0.75104,0.74204,0.00271,346.47
12,0.74038,0.75319,0.74516,0.00257,375.77
13,0.74322,0.75319,0.74756,0.00232,286.39
14,0.74576,0.75722,0.75042,0.00260,262.77
15,0.74863,0.75722,0.75303,0.00192,248.70
